skills,d
        "Assembly Language",
        "Wordpress",
        "ALGOL",
        "Node",
        "Express",
        "kafka",
        "REST",
        "Pyspark",
        "Hadoop",
        "Hive",
        "APL",
        "AWK",
        "C",
        "C++",
        "LINQ",
        "C#",
        "COBOL",
        "MVC.Net",
        ".Net",
        "Dart",
        "Delphi/Object Pascal",
        "Eiffel",
        "Erlang",
        "Fortran",
        "Haskell",
        "HTML/CSS",
        "Java",
        "JavaScript",
        "Julia",
        "Kotlin",
        "Lisp",
        "Lua",
        "MATLAB",
        "Objective-C",
        "Pascal",
        "Perl",
        "PHP",
        "Prolog",
        "Python",
        "R",
        "Ruby",
        "Rust",
        "Scala",
        "Scheme",
        "Shell Scripting",
        "SQL",
        "Swift",
        "TypeScript",
        "XML/XSLT",
        "HTML",             
        "CSS",              
        "JavaScript",       
        "Bootstrap",        
        "jQuery",           
        "React.js", 
        "React js", 
        "Vue js", 
        "Vue.js",           
        "AngularJS",        
        "Sass",             
        "Less",             
        "Emmet",            
        "Babel",            
        "Webpack",          
        "Gulp",             
        "Grunt",            
        "PostCSS",         
        "ESLint",          
        "Prettier",        
        "Storybook",       
        "Next.js",         
        "Nuxt.js",  
        "Next js",         
        "Nuxt js",
        "Node js",
        "git",
        "Node.js",
        "Tailwind CSS",     
        "Material-UI",      
        "Ant Design",       
        "Figma",            
        "Adobe XD",         
        "Sketch",           
        "Zeplin",           
        "Can I Use",        
        "Lighthouse",       
        "BrowserSync",      
        "CodePen",          
        "JSFiddle",         
        "CodeSandbox",
        "MySQL",            
        "PostgreSQL",       
        "SQLite",           
        "Microsoft SQL Server",
        "Oracle",
        "MongoDB",          
        "Redis",            
        "Cassandra",        
        "Elasticsearch",    
        "Couchbase",        
        "DynamoDB",         
        "Firebase",         
        "Neo4j",            
        "MariaDB",          
        "CouchDB",          
        "SQLite",           
        "RethinkDB",        
        "InfluxDB",         
        "HBase",
        "PL/SQL",
        "Stata",
        "Github",
        " CloudFormation",
        "DB2",
        "AWS S3",
        "AWS Lambda", 
        "AWS Kinesis", 
        "AWS CloudFormation", 
        "AWS Opensearch",
        "Microsoft Azure",
        "Amazon Aurora",    
        "Memcached",        
        "Apache Cassandra", 
        "Amazon DynamoDB", 
        "JMP SAS",
        "Microsoft Access", 
        "Google Cloud Spanner",
        "ArangoDB",         
        "CockroachDB",      
        "Teradata",         
        "Vertica",  
        "VoltDB",           
        "Bigtable", 
        "Django",           
        "Flask",     
        "Apache Solr",
        "Neo4j",
        "Ruby on Rails",    
        "Express.js",
         "Express js",
        "ASP.NET",          
        "Spring",           
        "Vue.js",           
        "React.js",         
        "AngularJS",        
        "Laravel",          
        "Symfony",          
        "CodeIgniter",      
        "Meteor",           
        "Phoenix",          
        "ASP.NET Core",     
        "NestJS",           
        "Qt",               
        "Tkinter",                  
        "GTK+",             
        "WPF",
        "Mongo DB",
        "WinForms",         
        "JavaFX",           
        "Unity",            
        "Unreal Engine",    
        "Godot",            
        "React Native",     
        "Flutter",          
        "Xamarin",          
        "TensorFlow",       
        "PyTorch",          
        "Scikit-learn",   
        "Jenkins",
        
        "Keras",            
        "Pandas",           
        "NumPy",  
        "Rest Api",
        "Express.js",       
        "FastAPI",          
        "Flask-RESTful",    
        "GraphQL",          
        "NestJS",           
        "Spring Boot",      
        "pytest",           
        "JUnit",            
        "Selenium",
        "Power BI",
        "MS Excel",
        "Tableau",
        "Azure",
        "Apache Hadoop",
        "Robot Framework",  
        "Spring Cloud",     
        "Kubernetes",       
        "Docker",           
        "Serverless Framework", 
        "React.js Native",           
        "Ansible",          
        "Chef",  
        "Agile",
        "JIRA",
        "Excel",
        "Puppet",           
        "OpenCV",           
        "jQuery",           
        "Bootstrap",        
        "OpenAPI",          
        "GraphQL",          
        "RESTful"
